"Neighborhood","Class","Units","YearBuilt","SqFt","IncomePerSqFt","ExpensePerSqFt","NetIncome","Value","ValuePerSqFt","Boro"
"UPPER WEST SIDE (96-116)","R4-CONDOMINIUM",67,1922,103749,18.86,6.37,1295825,9310000,89.74,"Manhattan"
"UPPER WEST SIDE (96-116)","R9-CONDOMINIUM",151,1926,192853,24.77,9.58,2929437,21288000,110.38,"Manhattan"
"UPPER WEST SIDE (96-116)","R9-CONDOMINIUM",46,1911,63300,26.37,10.43,1009002,7300000,115.32,"Manhattan"
"HARLEM-CENTRAL","R9-CONDOMINIUM",28,2004,52916,23.71,10.65,691083,5038000,95.21,"Manhattan"
"HARLEM-CENTRAL","R9-CONDOMINIUM",23,2004,37719,23.71,10.65,492610,3591000,95.2,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",25,1910,44329,19.05,8.84,452599,3248002,73.27,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",21,1906,46991,23.71,10.65,613703,4474000,95.21,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",26,2008,28300,30,8.83,599000,4484000,158.45,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",19,2007,29315,23.71,10.65,382854,2790997,95.21,"Manhattan"
"HARLEM-CENTRAL","RR-CONDOMINIUM",48,2007,54628,28.04,12.33,858206,6178000,113.09,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",11,2007,8195,28.04,12.33,128744,926999,113.12,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",12,1910,11436,27.87,11.45,187779,1345001,117.61,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",16,1910,15210,23.71,10.65,198642,1253995,82.45,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",47,1892,87400,23.71,10.65,1141444,8320999,95.21,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",64,2003,63252,23.71,10.65,826071,6021997,95.21,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",74,2003,59844,23.71,10.65,781562,5696999,95.2,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",22,2004,19500,23.71,10.65,254670,1856000,95.18,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",6,1910,7739,25.48,8.78,129242,881001,113.84,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",6,1910,6601,25.48,8.78,110236,749101,113.48,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",89,2008,109191,30,8.36,2362893,17688028,161.99,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",10,1900,14160,23.71,10.65,184930,1346999,95.13,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",44,2008,55379,20.95,6.32,810195,5818358,105.06,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",11,1910,25230,23.71,10.65,329503,2402001,95.2,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",12,2008,9741,19.04,6.46,122542,2039000,209.32,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",32,1994,35082,19.38,8.87,368712,2643996,75.37,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",36,1933,38386,19.38,8.87,403437,2893001,75.37,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",41,1900,45436,23.71,10.65,593395,4325999,95.21,"Manhattan"
"HARLEM-CENTRAL","RR-CONDOMINIUM",95,2005,147404,19.07,7.44,1714000,8767000,59.48,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",49,1931,63586,24.76,5.6,1218307,6779998,106.63,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",48,2003,108510,23.71,10.65,1417140,10331002,95.21,"Manhattan"
"HARLEM-CENTRAL","RR-CONDOMINIUM",123,2004,99275,22.33,7.7,1452393,10503000,105.8,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",93,2006,108572,23.71,10.65,1417950,10336002,95.2,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",54,2006,67413,23.71,10.65,880414,6417998,95.2,"Manhattan"
"HARLEM-CENTRAL","RR-CONDOMINIUM",125,2007,117030,15.22,3.08,1421000,9210000,78.7,"Manhattan"
"HARLEM-CENTRAL","R9-CONDOMINIUM",74,2003,93600,23.71,10.65,1222416,8911000,95.2,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",52,2006,70212,23.71,10.65,916969,6684006,95.2,"Manhattan"
"HARLEM-CENTRAL","RR-CONDOMINIUM",39,2009,42760,23.53,8.48,643538,2338500,54.69,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",15,1910,23765,19.74,7.62,288032,1958004,82.39,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",170,2003,240000,23.71,10.65,3134400,22849001,95.2,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",28,1994,41964,19.38,8.87,441041,3162003,75.35,"Manhattan"
"HARLEM-WEST","R4-CONDOMINIUM",13,2002,21862,23.71,10.65,285518,2080999,95.19,"Manhattan"
"HARLEM-WEST","R4-CONDOMINIUM",29,2006,31308,23.71,10.65,408883,2980998,95.22,"Manhattan"
"MORNINGSIDE HEIGHTS","R9-CONDOMINIUM",48,1926,37103,19.37,8.96,386242,2769000,74.63,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",32,1910,23822,23.71,10.65,311116,2267999,95.21,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",10,2008,11928,23.71,10.65,155780,1135000,95.15,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",28,1993,30976,19.38,8.87,325558,2333998,75.35,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",29,1926,30584,21.26,7.24,428788,3145998,102.86,"Manhattan"
"HARLEM-CENTRAL","R9-CONDOMINIUM",104,1920,143389,23.71,10.65,1872660,13651000,95.2,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",28,1994,36188,19.19,6.33,465378,3338001,92.24,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",14,1894,18306,23.71,10.65,239076,1743000,95.21,"Manhattan"
"HARLEM-CENTRAL","R2-CONDOMINIUM",47,1896,76584,18.29,6.89,873057,6281996,82.03,"Manhattan"
"HARLEM-CENTRAL","R9-CONDOMINIUM",128,2003,212047,23.71,10.65,2769333,20188000,95.21,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",26,1920,35390,19.37,8.96,368410,2642000,74.65,"Manhattan"
"HARLEM-CENTRAL","R4-CONDOMINIUM",180,2005,204835,23.71,10.65,2675145,19500992,95.2,"Manhattan"
"HARLEM-CENTRAL","R9-CONDOMINIUM",135,2005,164085,23.71,10.65,2142950,15621000,95.2,"Manhattan"
"HARLEM-CENTRAL","R9-CONDOMINIUM",134,2007,161156,23.71,10.65,2104698,15343000,95.21,"Manhattan"
"HARLEM-CENTRAL","R9-CONDOMINIUM",77,2001,91858,23.71,10.65,1199665,8745000,95.2,"Manhattan"
"HARLEM-UPPER","R2-CONDOMINIUM",38,1926,25050,22.39,7.94,361973,2646002,105.63,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",6,1920,6390,19.37,8.96,66520,476001,74.49,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",20,1920,17565,19.37,8.96,182852,1311001,74.64,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",12,2005,12000,23.71,10.65,156720,1142004,95.17,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",54,1908,30886,19.37,8.96,321523,2305012,74.63,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",64,1907,43135,19.37,8.96,449035,3220000,74.65,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",25,1926,24132,19.37,8.96,251214,1800999,74.63,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",35,1920,30441,19.37,8.96,316891,2272000,74.64,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",50,1913,86020,19.37,8.96,895468,6421002,74.65,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",36,1920,38578,19.37,8.96,401597,1650003,42.77,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",49,2005,67805,21.64,6.56,1022499,7495006,110.54,"Manhattan"
"HARLEM-UPPER","R4-CONDOMINIUM",74,1912,107100,19.37,8.96,1114911,7993998,74.64,"Manhattan"
"WASHINGTON HEIGHTS LOWER","R4-CONDOMINIUM",13,2008,22052,23.81,6.12,390000,2827999,128.24,"Manhattan"
"WASHINGTON HEIGHTS LOWER","R4-CONDOMINIUM",48,1920,52476,18.31,9.23,476483,3428002,65.33,"Manhattan"
"WASHINGTON HEIGHTS LOWER","R4-CONDOMINIUM",93,1930,97650,16.2,9.17,686479,4673994,47.86,"Manhattan"
"WASHINGTON HEIGHTS LOWER","R4-CONDOMINIUM",53,1900,58230,11.62,6.22,314442,1693970,29.09,"Manhattan"
"WASHINGTON HEIGHTS LOWER","R4-CONDOMINIUM",41,1920,51426,17.24,9.49,398551,2877999,55.96,"Manhattan"
"WASHINGTON HEIGHTS UPPER","R4-CONDOMINIUM",113,1969,109752,21.6,10.59,1208369,8769541,79.9,"Manhattan"
"WASHINGTON HEIGHTS UPPER","R4-CONDOMINIUM",79,1937,101844,22.8,7.95,1512383,10988001,107.89,"Manhattan"
"WASHINGTON HEIGHTS UPPER","RR-CONDOMINIUM",72,1928,72986,15.41,7.03,611633,3982000,54.56,"Manhattan"
"WASHINGTON HEIGHTS UPPER","R4-CONDOMINIUM",20,2002,22838,29.85,12.37,399208,2991000,130.97,"Manhattan"
"WASHINGTON HEIGHTS UPPER","R9-CONDOMINIUM",65,1950,55522,19.37,8.96,577984,4144000,74.64,"Manhattan"
"WASHINGTON HEIGHTS UPPER","R4-CONDOMINIUM",56,2003,75765,28.04,12.33,1190269,8567994,113.09,"Manhattan"
"INWOOD","R4-CONDOMINIUM",89,1925,76970,13.37,6.83,503384,3338998,43.38,"Manhattan"
"INWOOD","R4-CONDOMINIUM",12,2006,10950,21.6,10.59,120559,884000,80.73,"Manhattan"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",124,1913,227916,22.6,7.91,3348086,23759904,104.25,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",13,2001,24672,22.01,9.02,320388,2346000,95.09,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",69,2006,78352,22.2,7.77,1130619,8488003,108.33,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",58,1904,52530,19.44,8.81,558394,4003003,76.2,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",13,2007,20085,22.01,7.7,287416,2107998,104.95,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",87,1910,158053,22.6,8.81,2178919,15924001,100.75,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",21,1910,23150,25.1,7.87,398874,2896003,125.1,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",31,1899,41476,22.01,7.7,593377,4344999,104.76,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",259,1916,375000,18.44,8.3,3803250,25821990,68.86,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",56,2006,58066,23.33,8.16,880861,6046006,104.12,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",79,2006,87554,22.6,6.6,1400864,10238001,116.93,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",266,2006,301131,22.6,6.6,4818096,35211998,116.93,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",37,1920,35464,22.01,6.57,547565,4009999,113.07,"Brooklyn"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",31,2006,35389,22.01,6.57,546406,3765999,106.42,"Brooklyn"
"DOWNTOWN-METROTECH","R4-CONDOMINIUM",59,NA,54200,29.88,11.89,975058,7305002,134.78,"Brooklyn"
"DOWNTOWN-METROTECH","R4-CONDOMINIUM",306,2005,271963,29.51,8.84,5621475,42149030,154.98,"Brooklyn"
"DOWNTOWN-FULTON MALL","R4-CONDOMINIUM",99,2003,73232,28.99,8.7,1486097,11155002,152.32,"Brooklyn"
"BOERUM HILL","R4-CONDOMINIUM",50,2007,56769,23.34,7.22,915116,6677002,117.62,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",9,1900,8000,22.01,10.19,94560,694999,86.87,"Brooklyn"
"BOERUM HILL","R4-CONDOMINIUM",21,NA,21046,19.4,5.79,286458,2053999,97.6,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",39,1990,42550,22.01,6.57,656972,4811001,113.07,"Brooklyn"
"BOERUM HILL","R4-CONDOMINIUM",71,2006,70037,22.01,6.57,1081371,7919009,113.07,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",11,1922,12998,23.85,11.45,161201,1174000,90.32,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",15,2005,19605,19.44,7.78,228673,1639001,83.6,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",1,1910,6966,11.63,6.05,38887,250000,35.89,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",22,2002,26677,22.01,6.57,411893,3015999,113.06,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",23,2006,29086,19.44,7.78,339259,2432001,83.61,"Brooklyn"
"BROOKLYN HEIGHTS","R4-CONDOMINIUM",57,1910,52396,22.01,6.57,808994,5862995,111.9,"Brooklyn"
"BROOKLYN HEIGHTS","R4-CONDOMINIUM",56,1910,74131,26.76,9.63,1269597,9177007,123.79,"Brooklyn"
"BROOKLYN HEIGHTS","R9-CONDOMINIUM",23,1900,25230,22.07,9.05,328527,2467000,97.78,"Brooklyn"
"BROOKLYN HEIGHTS","R4-CONDOMINIUM",438,2008,628669,25.27,7.96,10882261,78988986,125.64,"Brooklyn"
"BROOKLYN HEIGHTS","R4-CONDOMINIUM",24,NA,43181,9.5,2.12,318676,3151456,72.98,"Brooklyn"
"BROOKLYN HEIGHTS","R2-CONDOMINIUM",12,1900,9207,25.73,9.39,150429,1089999,118.39,"Brooklyn"
"BROOKLYN HEIGHTS","R4-CONDOMINIUM",11,2001,21259,22.01,6.57,328239,2403998,113.08,"Brooklyn"
"BROOKLYN HEIGHTS","R4-CONDOMINIUM",33,1921,32500,22.01,7.92,457808,3352998,103.17,"Brooklyn"
"DOWNTOWN-FULTON MALL","R4-CONDOMINIUM",299,1926,324465,26.36,10.81,5046209,36510998,112.53,"Brooklyn"
"DOWNTOWN-FULTON MALL","R4-CONDOMINIUM",19,NA,5520,3.57,0.97,14352,88999,16.12,"Brooklyn"
"BROOKLYN HEIGHTS","R2-CONDOMINIUM",8,1925,5239,29.04,11.12,93883,705001,134.57,"Brooklyn"
"BROOKLYN HEIGHTS","R2-CONDOMINIUM",2,1900,3170,23.76,10.21,42953,313000,98.74,"Brooklyn"
"BOERUM HILL","R4-CONDOMINIUM",321,2005,248762,30.08,11.46,4631948,34691000,139.45,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",56,1916,68330,23.84,9.77,961102,6999002,102.43,"Brooklyn"
"BOERUM HILL","R4-CONDOMINIUM",14,1910,19388,22.01,6.57,299351,2192000,113.06,"Brooklyn"
"COBBLE HILL","R9-CONDOMINIUM",47,1900,36858,26.13,10.46,577565,8293000,225,"Brooklyn"
"COBBLE HILL","R2-CONDOMINIUM",20,1900,9924,23.65,5.58,179327,1275982,128.58,"Brooklyn"
"COBBLE HILL","R9-CONDOMINIUM",32,NA,38705,25.12,10.21,577092,4203000,108.59,"Brooklyn"
"COBBLE HILL","R2-CONDOMINIUM",59,2004,84695,20.12,6.24,1175803,8405998,99.25,"Brooklyn"
"COBBLE HILL-WEST","R4-CONDOMINIUM",3,2009,61991,15.99,5.6,644303,4361043,70.35,"Brooklyn"
"COBBLE HILL-WEST","R4-CONDOMINIUM",12,NA,14291,19.71,8.87,154915,1155002,80.82,"Brooklyn"
"COBBLE HILL-WEST","R2-CONDOMINIUM",36,NA,41786,19.3,7.27,502686,3605003,86.27,"Brooklyn"
"COBBLE HILL-WEST","R4-CONDOMINIUM",13,2006,17463,22.01,7.8,248150,1817003,104.05,"Brooklyn"
"COBBLE HILL-WEST","R4-CONDOMINIUM",70,1921,71212,19.44,7.97,816773,5070988,71.21,"Brooklyn"
"COBBLE HILL-WEST","R4-CONDOMINIUM",70,1917,84000,19.44,8.75,898128,6439004,76.65,"Brooklyn"
"COBBLE HILL-WEST","R4-CONDOMINIUM",71,1930,79058,22.01,9.02,1026640,7518001,95.09,"Brooklyn"
"COBBLE HILL","R2-CONDOMINIUM",34,1922,36973,18.8,8.46,382301,2747002,74.3,"Brooklyn"
"COBBLE HILL","R4-CONDOMINIUM",60,1825,52529,18.45,7.8,559434,4011002,76.36,"Brooklyn"
"COBBLE HILL-WEST","R2-CONDOMINIUM",10,1986,8888,21.01,9.46,102657,751999,84.61,"Brooklyn"
"COBBLE HILL-WEST","R4-CONDOMINIUM",20,2000,24122,22.01,9.9,292009,2138000,88.63,"Brooklyn"
"CARROLL GARDENS","R2-CONDOMINIUM",26,1890,20000,19.05,8.87,203600,1461004,73.05,"Brooklyn"
"COBBLE HILL-WEST","R4-CONDOMINIUM",13,2005,15394,22.01,9.02,199905,1463999,95.1,"Brooklyn"
"COBBLE HILL-WEST","R9-CONDOMINIUM",14,NA,9393,18.8,9.68,85645,617000,65.69,"Brooklyn"
"CARROLL GARDENS","R4-CONDOMINIUM",40,2004,56542,22.01,8.36,771583,5524001,97.7,"Brooklyn"
"CARROLL GARDENS","R2-CONDOMINIUM",15,1900,13201,18.8,9.68,120367,867000,65.68,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",20,2004,32490,21.54,6.68,482886,2873002,88.43,"Brooklyn"
"BOERUM HILL","R4-CONDOMINIUM",42,1915,49690,21.78,11.11,530302,3884001,78.16,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",13,NA,20037,24.18,11.61,251937,1834999,91.58,"Brooklyn"
"BOERUM HILL","R2-CONDOMINIUM",48,1910,63000,19.31,6.76,790744,5670000,90,"Brooklyn"
"CARROLL GARDENS","R4-CONDOMINIUM",6,2000,6652,19.44,9.27,67651,456998,68.7,"Brooklyn"
"CARROLL GARDENS","R4-CONDOMINIUM",36,2007,25047,23.34,8.17,379988,2771999,110.67,"Brooklyn"
"GOWANUS","R2-CONDOMINIUM",9,NA,5763,21.12,8.45,73029,537000,93.18,"Brooklyn"
"CARROLL GARDENS","R4-CONDOMINIUM",26,2000,33198,19.44,6.8,419490,3012003,90.73,"Brooklyn"
"CARROLL GARDENS","R2-CONDOMINIUM",2,1900,1954,26.01,9.88,31511,229000,117.2,"Brooklyn"
"GOWANUS","R4-CONDOMINIUM",55,1938,54818,19.44,9.27,557499,3997000,72.91,"Brooklyn"
"CARROLL GARDENS","R2-CONDOMINIUM",12,NA,10604,21.45,8.79,134199,984000,92.8,"Brooklyn"
"CARROLL GARDENS","R4-CONDOMINIUM",12,NA,14037,19.44,8.75,150083,1076001,76.65,"Brooklyn"
"CARROLL GARDENS","R4-CONDOMINIUM",124,2006,133465,22.07,7.89,1892531,13859002,103.84,"Brooklyn"
"CARROLL GARDENS","R4-CONDOMINIUM",25,2005,24769,22.01,6.57,382434,2800999,113.08,"Brooklyn"
"SUNSET PARK","R2-CONDOMINIUM",23,1930,10247,16.07,6.74,95640,692003,67.53,"Brooklyn"
"SUNSET PARK","R2-CONDOMINIUM",14,1995,10000,18.5,8.23,102700,743002,74.3,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",10,2004,16012,22.01,9.02,207930,1528000,95.43,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",12,2007,16316,18.04,8.48,155981,1180000,72.32,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",31,2007,23034,19.53,8.35,257520,1846002,80.14,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",54,1931,54770,13.78,6.87,378461,2016994,36.83,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",9,2008,8171,23.45,9.6,113168,828001,101.33,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",36,NA,32805,14.78,8.48,206672,1426002,43.47,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",25,2006,25600,14.78,7.7,181248,1252989,48.94,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",18,2006,10819,16.19,7.69,91962,626003,57.86,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",10,2005,8984,19.35,8.35,98824,708998,78.92,"Brooklyn"
"BUSH TERMINAL","R2-CONDOMINIUM",8,2009,9894,25.74,16.66,89838,603000,60.95,"Brooklyn"
"SUNSET PARK","R2-CONDOMINIUM",13,2004,12334,19.9,7.35,154792,1135999,92.1,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",13,2004,13070,23,8.28,192390,1383003,105.82,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",11,2004,12090,20.45,8.18,148345,1086001,89.83,"Brooklyn"
"SUNSET PARK","R2-CONDOMINIUM",38,1904,47862,22.01,8.8,632066,4628999,96.72,"Brooklyn"
"SUNSET PARK","R2-CONDOMINIUM",14,2007,18855,19.35,6.71,238327,1707999,90.59,"Brooklyn"
"SUNSET PARK","R2-CONDOMINIUM",16,2006,12490,19.44,9.05,129771,891917,71.41,"Brooklyn"
"WINDSOR TERRACE","R4-CONDOMINIUM",35,2006,36872,20.02,9.01,405960,2957002,80.2,"Brooklyn"
"WINDSOR TERRACE","R2-CONDOMINIUM",18,2006,17983,17.06,6.82,184074,1345000,74.79,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",10,2008,11633,19.44,8.87,122961,883000,75.9,"Brooklyn"
"SUNSET PARK","R2-CONDOMINIUM",8,2006,8400,18.2,6.39,99204,729000,86.79,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",15,2008,24043,18.04,6.43,279140,2044001,85.01,"Brooklyn"
"SUNSET PARK","R2-CONDOMINIUM",16,2006,12950,19.9,7.3,163170,1196994,92.43,"Brooklyn"
"SUNSET PARK","R2-CONDOMINIUM",16,2006,12930,20.45,8.18,158651,1164000,90.02,"Brooklyn"
"SUNSET PARK","R4-CONDOMINIUM",12,2002,10194,19.29,7.72,117944,848001,83.19,"Brooklyn"
"BOROUGH PARK","R2-CONDOMINIUM",16,1930,13180,18.68,8.41,135358,903000,68.51,"Brooklyn"
"BOROUGH PARK","R2-CONDOMINIUM",16,1987,9903,20.33,7.12,130863,935002,94.42,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",16,2004,21829,22.96,8.04,325776,1937998,88.78,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",8,NA,5085,29.35,12.4,86189,622002,122.32,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",24,1986,20750,18.39,8.28,209876,1533000,73.88,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",47,1925,68505,22.01,9.02,889599,6515001,95.1,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",36,1922,39656,18.79,9.24,378715,2721000,68.62,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",10,1920,27213,18.79,9.06,264782,1902001,69.89,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",22,NA,35741,19.35,6.77,449532,3223002,90.18,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",36,1990,38430,19.44,7.97,440777,3159997,82.23,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",12,NA,13731,17.43,7.49,136486,984999,71.74,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",38,NA,49768,20.68,8.48,607229,4461003,89.64,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",11,1931,9102,19.77,8.11,106169,760000,83.5,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",14,2001,14976,21.24,9.46,176417,1294000,86.4,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",30,1915,20202,19.83,8.56,227677,1528986,75.68,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",18,2003,15740,19.44,6.8,198891,1425999,90.6,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",8,2004,13361,28.46,13.03,206160,1488998,111.44,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",32,2008,40038,19.96,8.41,462438,3308002,82.62,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",40,1930,36669,20.51,8.41,443728,3168001,86.39,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",11,2008,23222,22.01,7.7,332225,2432999,104.77,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",36,NA,48738,19.44,6.8,615854,4415002,90.59,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",46,2004,94982,17.78,7.49,977365,7047000,74.19,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",30,2004,30802,22.01,6.57,475583,3483001,113.08,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",68,NA,54122,21.46,7.51,754948,5536000,102.29,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",113,2006,115310,21.46,7.51,1608555,12073993,104.71,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",2,NA,2050,35.15,14.6,42128,312000,152.2,"Brooklyn"
"GOWANUS","R4-CONDOMINIUM",60,2009,51102,20.78,7.27,690235,5180998,101.39,"Brooklyn"
"PARK SLOPE","R2-CONDOMINIUM",16,2004,21599,20.95,7.77,284675,2089998,96.76,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",19,1914,15637,20.45,12.13,130100,868998,55.57,"Brooklyn"
"PARK SLOPE","R4-CONDOMINIUM",131,1920,37880,21.46,8.8,479614,3517000,92.85,"Brooklyn"
"PARK SLOPE SOUTH","R4-CONDOMINIUM",12,1991,21200,22.28,9.29,275325,2016000,95.09,"Brooklyn"
"PARK SLOPE SOUTH","R4-CONDOMINIUM",15,NA,17208,20.73,9.73,189288,1357001,78.86,"Brooklyn"
"GOWANUS","R4-CONDOMINIUM",7,2005,6570,19.44,9.27,66817,480000,73.06,"Brooklyn"
"PARK SLOPE SOUTH","R2-CONDOMINIUM",18,1925,19844,24.86,10.21,290715,2118002,106.73,"Brooklyn"
"PARK SLOPE SOUTH","R4-CONDOMINIUM",16,1931,22618,22.01,9.46,283856,2079000,91.92,"Brooklyn"
"PARK SLOPE SOUTH","R4-CONDOMINIUM",8,1931,8416,22.01,9.46,105621,776001,92.21,"Brooklyn"
"PARK SLOPE SOUTH","R4-CONDOMINIUM",8,2007,6625,22.01,9.46,83143,611000,92.23,"Brooklyn"
"PARK SLOPE SOUTH","R2-CONDOMINIUM",16,2003,19350,21.27,8.51,246945,1812000,93.64,"Brooklyn"
"PARK SLOPE SOUTH","R4-CONDOMINIUM",20,2008,25216,22.01,7.7,360753,2642003,104.77,"Brooklyn"
"PARK SLOPE SOUTH","R4-CONDOMINIUM",45,2005,54488,21.13,9.65,625522,4590001,84.24,"Brooklyn"
"PARK SLOPE SOUTH","R4-CONDOMINIUM",20,NA,27584,22.01,9.02,358203,2622999,95.09,"Brooklyn"
